type,instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
7,precision_2_timepoints_2.coo,16,8,1000,false,0.055844801,-3.089316242435219e-14,-46.0,-45.999999999999986,25.0,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_3.coo,24,8,1000,false,0.04893367,1.0869565217391457,-91.0,-92.00000000000001,0.0,1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;1;-1;-1
7,precision_2_timepoints_4.coo,32,8,1000,false,0.027502931,1.4492753623188406,-136.0,-138.0,0.0,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1
7,precision_2_timepoints_5.coo,40,8,1000,false,0.041590846,0.5434782608695499,-183.0,-183.99999999999997,0.0,1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;1
7,precision_2_timepoints_2.coo,16,8,10000,false,0.322893371,2.1739130434782306,-45.0,-45.999999999999986,0.0,1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1
7,precision_2_timepoints_3.coo,24,8,10000,false,0.337598722,1.0869565217391457,-91.0,-92.00000000000001,0.0,1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1
7,precision_2_timepoints_4.coo,32,8,10000,false,0.337902272,0.0,-138.0,-138.0,12.5,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_5.coo,40,8,10000,false,0.334149326,1.086956521739115,-182.0,-183.99999999999997,0.0,1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;1
7,precision_2_timepoints_2.coo,16,16,1000,false,0.031571691,-3.089316242435219e-14,-46.0,-45.999999999999986,31.25,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_3.coo,24,16,1000,false,0.038928573,1.5446581212176087e-14,-92.0,-92.00000000000001,18.75,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_4.coo,32,16,1000,false,0.027669148,0.7246376811594203,-137.0,-138.0,0.0,-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1
7,precision_2_timepoints_5.coo,40,16,1000,false,0.025899389,1.086956521739115,-182.0,-183.99999999999997,0.0,-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1
7,precision_2_timepoints_2.coo,16,16,10000,false,0.310198276,-3.089316242435219e-14,-46.0,-45.999999999999986,12.5,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_3.coo,24,16,10000,false,0.316314745,1.0869565217391457,-91.0,-92.00000000000001,0.0,1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;1;-1;-1
7,precision_2_timepoints_4.coo,32,16,10000,false,0.333834992,1.4492753623188406,-136.0,-138.0,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1
7,precision_2_timepoints_5.coo,40,16,10000,false,0.319953321,0.5434782608695499,-183.0,-183.99999999999997,0.0,1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1
7,precision_2_timepoints_2.coo,16,32,1000,false,0.046299817,-3.089316242435219e-14,-46.0,-45.999999999999986,31.25,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_3.coo,24,32,1000,false,0.026924191,1.5446581212176087e-14,-92.0,-92.00000000000001,9.375,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_4.coo,32,32,1000,false,0.036032182,0.7246376811594203,-137.0,-138.0,0.0,-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1
7,precision_2_timepoints_5.coo,40,32,1000,false,0.02614425,1.086956521739115,-182.0,-183.99999999999997,0.0,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;1
7,precision_2_timepoints_2.coo,16,32,10000,false,0.320547075,-3.089316242435219e-14,-46.0,-45.999999999999986,28.125,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_3.coo,24,32,10000,false,0.314227298,1.5446581212176087e-14,-92.0,-92.00000000000001,3.125,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_4.coo,32,32,10000,false,0.314003404,0.7246376811594203,-137.0,-138.0,0.0,1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1
7,precision_2_timepoints_5.coo,40,32,10000,false,0.317407286,1.086956521739115,-182.0,-183.99999999999997,0.0,1;-1;-1;-1;-1;1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1
7,precision_2_timepoints_2.coo,16,64,1000,false,0.026957484,-3.089316242435219e-14,-46.0,-45.999999999999986,28.125,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_3.coo,24,64,1000,false,0.028484398,1.5446581212176087e-14,-92.0,-92.00000000000001,23.4375,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_4.coo,32,64,1000,false,0.031379825,0.0,-138.0,-138.0,3.125,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_5.coo,40,64,1000,false,0.03268997,0.5434782608695499,-183.0,-183.99999999999997,0.0,1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;1;-1;-1
7,precision_2_timepoints_2.coo,16,64,10000,false,0.313394292,-3.089316242435219e-14,-46.0,-45.999999999999986,17.1875,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1
7,precision_2_timepoints_3.coo,24,64,10000,false,0.31672159,1.0869565217391457,-91.0,-92.00000000000001,0.0,1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;1;-1;-1
7,precision_2_timepoints_4.coo,32,64,10000,false,0.330353053,0.0,-138.0,-138.0,1.5625,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1
