type,instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
5,precision_2_timepoints_2.coo,32,8,1000,false,0.044003664,0.0,-78.0,-78.0,25.0,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1
5,precision_2_timepoints_3.coo,48,8,1000,false,0.066531196,1.4084507042253522,-140.0,-142.0,0.0,1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1
5,precision_2_timepoints_4.coo,64,8,1000,false,0.02710429,1.4563106796116505,-203.0,-206.0,0.0,1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1
5,precision_2_timepoints_5.coo,80,8,1000,false,0.027876887,1.8518518518518516,-265.0,-270.0,0.0,1;-1;-1;1;1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;1;1;1;-1;1;-1;1;1;-1;-1;-1;-1;1;1;-1;1;1;1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;1;1;1;-1;1;-1;-1;-1;-1
5,precision_2_timepoints_2.coo,32,8,10000,false,0.355949185,0.0,-78.0,-78.0,12.5,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1
5,precision_2_timepoints_3.coo,48,8,10000,false,0.299577928,1.4084507042253522,-140.0,-142.0,0.0,1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1
5,precision_2_timepoints_4.coo,64,8,10000,false,0.305693384,3.3980582524271843,-199.0,-206.0,0.0,-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;1;1
5,precision_2_timepoints_5.coo,80,8,10000,false,0.296462424,2.5925925925925926,-263.0,-270.0,0.0,1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1
5,precision_2_timepoints_2.coo,32,16,1000,false,0.030973472,0.0,-78.0,-78.0,6.25,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1
5,precision_2_timepoints_3.coo,48,16,1000,false,0.035338717,1.4084507042253522,-140.0,-142.0,0.0,1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;-1
