instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
precision_3_timepoints_6_embedded.coo,153,128,100,false,0.03050365,0.4545756780308836,-1259.110107421875,-1264.859852673305,0.0,-1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;-1;1;1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;1;1;1;1;1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;-1;-1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;-1;-1;1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1
precision_4_timepoints_3.coo,48,128,100,false,0.00434095,0.9191176470588236,-101.0625,-102.0,0.0,-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;1;-1;1;1;-1;-1;1;1;-1;-1;-1;1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;1;1;-1;1;-1;1;-1;1;1;-1
precision_4_timepoints_3_embedded.coo,95,128,100,false,0.004237015,-0.9451568508922753,-556.3887329101562,-551.1792247071418,0.78125,-1;1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;1;1;1;1;-1;-1;-1;-1;-1;1;1;1;-1;-1;1;1;1;-1;1;1;1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;-1;-1;1;1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;1;1;1;1;1;1;1;1;1;-1;-1;-1;-1
precision_4_timepoints_4.coo,64,128,100,false,0.004381322,1.3259195893926432,-144.1875,-146.125,0.0,-1;1;1;1;-1;1;1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;1;1;-1;1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1
precision_4_timepoints_4_embedded.coo,152,128,100,false,0.005862375,-0.5993097883355336,-1079.80712890625,-1073.3742917105515,1.5625,-1;-1;-1;-1;1;1;1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;1;1;1;1;1;1;-1;-1;-1;-1;1;1;1;1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;1;1;1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1
precision_4_timepoints_5.coo,80,128,100,false,0.005664756,1.0512483574244416,-188.25,-190.25,0.0,-1;1;1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;-1;1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;1;-1;-1;-1;-1
precision_4_timepoints_5_embedded.coo,208,128,100,false,0.04235226,-0.11133112964371035,-1610.712158203125,-1608.9209283585094,0.0,-1;-1;-1;1;1;1;1;1;-1;-1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;-1;-1;-1;1;1;1;1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;1;1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;1;1;1;1;-1;-1
precision_4_timepoints_6.coo,96,128,100,false,0.00708265,1.4666666666666666,-230.9375,-234.375,0.0,1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;1;1;-1;-1;1;1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;1;1;-1;1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;-1;1;1;1;-1;-1;1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;1;1;-1;-1;1;1;-1;1;-1;1
precision_4_timepoints_6_embedded.coo,242,128,100,false,0.006853747,-0.3813467399848669,-1910.8759765625,-1903.6165967290628,2.34375,-1;-1;1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;1;1;1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;1;1;-1;-1;1;-1;-1;-1;1;1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;-1;-1;1;1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;1;1;1;-1;-1;1;1;1;1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1
precision_2_timepoints_3.coo,24,128,10000,false,0.192646735,1.3157894736842104,-75.0,-76.0,0.0,1;-1;-1;1;-1;1;-1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1
