instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
precision_4_timepoints_5.coo,80,16,1000,false,0.02208202,0.4621234682030607,-239.5370330810547,-240.6491291830358,0.0,1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;1;1;1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1
precision_2_timepoints_3.coo,24,16,10000,false,0.152256084,2.0356307641882285,-85.95099639892578,-87.73699771600796,0.0,-1;1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;1;1;1;-1;-1;-1;1;-1;-1
precision_2_timepoints_4.coo,32,16,10000,false,0.151818887,1.0316472855584022,-126.79283905029297,-128.1145291122858,0.0,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1
precision_2_timepoints_5.coo,40,16,10000,false,0.151598612,1.3531758418118256,-166.21206665039062,-168.49206050856347,0.0,1;-1;-1;1;-1;-1;-1;-1;-1;1;1;1;1;-1;-1;1;-1;1;-1;-1;-1;-1;1;1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1
precision_3_timepoints_3.coo,36,16,10000,false,0.14723572,0.2823262765950844,-111.19213104248047,-111.5069444468823,0.0,-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;1;1;-1;-1;-1;1;-1
precision_3_timepoints_4.coo,48,16,10000,false,0.151032028,0.5087125893780926,-161.84814453125,-162.67569627807504,0.0,1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;1;-1;1;1;1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1
precision_3_timepoints_5.coo,60,16,10000,false,0.156026989,0.40003362432149736,-212.98899841308594,-213.84444810926774,0.0,-1;1;1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;1;1;-1;-1;-1;1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;1;1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1
precision_4_timepoints_3.coo,48,16,10000,false,0.149598195,0.17466069538338588,-125.38634490966797,-125.60572874894224,0.0,-1;1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1
precision_4_timepoints_4.coo,64,16,10000,false,0.153690162,0.2469802517752777,-182.67514038085938,-183.12742896598917,0.0,1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1;1;-1;1
precision_4_timepoints_5.coo,80,16,10000,false,0.17253798,0.14884953541540707,-240.29092407226562,-240.6491291830358,0.0,1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1
precision_2_timepoints_3.coo,24,16,100000,false,1.459602405,1.3038916608190467,-86.59300231933594,-87.73699771600796,0.0,1;-1;-1;1;-1;-1;-1;1;1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1;1;-1
precision_2_timepoints_4.coo,32,16,100000,false,1.487885611,1.9398829526658476,-125.62925720214844,-128.1145291122858,0.0,1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;1;-1;-1
precision_2_timepoints_5.coo,40,16,100000,false,1.506569803,1.8813812232245253,-165.32208251953125,-168.49206050856347,0.0,1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;1;-1;1
precision_3_timepoints_3.coo,36,16,100000,false,1.460980315,0.3153872079638578,-111.15526580810547,-111.5069444468823,0.0,-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1;-1
precision_3_timepoints_4.coo,48,16,100000,false,1.488902857,0.3696276926200732,-162.07440185546875,-162.67569627807504,0.0,1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1
precision_3_timepoints_5.coo,60,16,100000,false,1.549328228,0.44037039028992564,-212.90274047851562,-213.84444810926774,0.0,-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;-1;-1;1;1;-1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1
precision_4_timepoints_3.coo,48,16,100000,false,1.484819121,0.16344186656118742,-125.40043640136719,-125.60572874894224,0.0,-1;1;-1;1;-1;1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;1;1;1;-1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1
precision_4_timepoints_4.coo,64,16,100000,false,1.533749809,0.12503654340204345,-182.89845275878906,-183.12742896598917,0.0,1;-1;-1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;-1;1;-1
precision_4_timepoints_5.coo,80,16,100000,false,1.572810892,0.14546995344977834,-240.29905700683594,-240.6491291830358,0.0,1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;1;1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;-1;-1;1
precision_2_timepoints_3.coo,24,32,100,false,0.002204622,1.1320461467810692,-86.7437744140625,-87.73699771600796,0.0,-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;1;1;-1;-1;1;-1;-1;-1
precision_2_timepoints_4.coo,32,32,100,false,0.002181155,3.029077339465345,-124.23384094238281,-128.1145291122858,0.0,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;1;-1;-1;-1;-1;-1;-1
precision_2_timepoints_5.coo,40,32,100,false,0.002151345,3.2677505477852016,-162.9861602783203,-168.49206050856347,0.0,-1;1;-1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;-1;-1;1;1;-1;1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;1;-1;-1
precision_3_timepoints_3.coo,36,32,100,false,0.003774106,1.1180111061585385,-110.26028442382812,-111.5069444468823,0.0,-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;1;1;-1;1;1;-1;1;-1
precision_3_timepoints_4.coo,48,32,100,false,0.003036619,1.8997116350772603,-159.5853271484375,-162.67569627807504,0.0,-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;-1;1;1;-1;1;1
precision_3_timepoints_5.coo,60,32,100,false,0.002220244,2.060655395115835,-209.43785095214844,-213.84444810926774,0.0,-1;1;1;-1;-1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;1;1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1
precision_4_timepoints_3.coo,48,32,100,false,0.00212918,1.5198207452671155,-123.69674682617188,-125.60572874894224,0.0,-1;1;-1;-1;-1;-1;1;1;-1;1;-1;1;-1;1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;1;1;-1;-1;1;1;-1;1;-1;1
precision_4_timepoints_4.coo,64,32,100,false,0.002242141,1.5415249943580698,-180.30447387695312,-183.12742896598917,0.0,1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1
precision_4_timepoints_5.coo,80,32,100,false,0.003031732,1.644286022150132,-236.69216918945312,-240.6491291830358,0.0,-1;1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;1
precision_2_timepoints_3.coo,24,32,1000,false,0.015331431,1.7287923466017459,-86.22020721435547,-87.73699771600796,0.0,-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;1;-1;1
precision_2_timepoints_4.coo,32,32,1000,false,0.017022488,0.9433921690336972,-126.9059066772461,-128.1145291122858,0.0,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;-1
precision_2_timepoints_5.coo,40,32,1000,false,0.016041754,1.9480521421622254,-165.20974731445312,-168.49206050856347,0.0,1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1
precision_3_timepoints_3.coo,36,32,1000,false,0.022137548,0.27278157476159126,-111.20277404785156,-111.5069444468823,0.0,-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1
